year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,Jordan Taylor,,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Antonio Garcia | 2.Jordan Taylor
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,24,GTLM,Rahal Letterman Lanigan LLC,BMW M8 GTE,Jesse Krohn,John Edwards,,,,Rahal Letterman Lanigan LLC BMW M8 GTE | GTLM | 1.Jesse Krohn | 2.John Edwards
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,25,GTLM,Rahal Letterman Lanigan LLC,BMW M8 GTE,Bruno Spengler,Connor De Phillippi,,,,Rahal Letterman Lanigan LLC BMW M8 GTE | GTLM | 1.Bruno Spengler | 2.Connor De Phillippi
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,30,GTD,Team Hardpoint,Audi R8 LMS GT3,Rob Ferriol,Spencer Pumpelly,,,,Team Hardpoint Audi R8 LMS GT3 | GTD | 1.Rob Ferriol | 2.Spencer Pumpelly
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,31,DPi,Whelen Engineering Racing,Cadillac,Felipe Nasr,Pipo Derani,,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Felipe Nasr | 2.Pipo Derani
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,38,LMP2,Performance Tech Motorsports,ORECA 07,Cameron Cassels,Kyle Masson,,,,Performance Tech Motorsports ORECA LMP2 07 | LMP2 | 1.Cameron Cassels | 2.Kyle Masson
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,44,GTD,GRT Magnus,Lamborghini Huracan GT3,John Potter,Andy Lally,,,,GRT Magnus Lamborghini Huracan GT3 | GTD | 1.John Potter | 2.Andy Lally
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,52,LMP2,PR1 Motorsports,ORECA 07,Patrick Kelly,Spencer Pigot,,,,PR1 Motorsports ORECA LMP2 07 | LMP2 | 1.Patrick Kelly | 2.Spencer Pigot
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,55,DPi,Multimatic Motorsports,Mazda,Jonathan Bomarito,Harry Tincknell,,,,Multimatic Motorsports Mazda DPi | DPi | 1.Jonathan Bomarito | 2.Harry Tincknell
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,Toni Vilander,,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Cooper MacNeil | 2.Toni Vilander
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,74,GTD,Riley Motorsports,Mercedes-AMG GT3,Gar Robinson,Lawson Aschenbach,,,,Riley Motorsports Mercedes-AMG GT3 | GTD | 1.Gar Robinson | 2.Lawson Aschenbach
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,76,GTD,Compass Racing,McLaren 720S GT3,Corey Fergus,Paul Holton,,,,Compass Racing McLaren 720S GT3 | GTD | 1.Corey Fergus | 2.Paul Holton
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,77,DPi,Multimatic Motorsports,Mazda,Oliver Jarvis,Tristan Nunez,,,,Multimatic Motorsports Mazda DPi | DPi | 1.Oliver Jarvis | 2.Tristan Nunez
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,81,LMP2,DragonSpeed USA LLC,ORECA 07,Henrik Hedman,Gustavo Menezes,,,,DragonSpeed USA LLC ORECA LMP2 07 | LMP2 | 1.Henrik Hedman | 2.Gustavo Menezes
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,85,DPi,JDC-Miller MotorSports,Cadillac,Stephen Simpson,Tristan Vautier,,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Stephen Simpson | 2.Tristan Vautier
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Robby Foley,Bill Auberlen,,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Robby Foley | 2.Bill Auberlen
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,911,GTLM,Porsche GT Team,Porsche RSR - 19,Nick Tandy,Fred Makowiecki,,,,Porsche GT Team Porsche 911 RSR - 19 | GTLM | 1.Nick Tandy | 2.Fred Makowiecki
2020,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-07-18,202007181735_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR - 19,Earl Bamber,Laurens Vanthoor,,,,Porsche GT Team Porsche 911 RSR - 19 | GTLM | 1.Earl Bamber | 2.Laurens Vanthoor
